Time,High,Low,Close,candlestick_pattern,keltner_up,keltner_down,bollinger_up,bollinger_down,smma125_high,smma120_low,flay_upper,flay_lower,sma7,sma34,sma99,sma200,sma314,tenkan_sen,kijun_sen,span_a,span_b,storm,storm_ema,normalizesma
1/6/2023 1:45,1.000554,0.998553,0.999006,9,1.002023,0.997977,1.00197,0.998046,1.000048,0.998668,1.002174,0.99772,1.000312,0.999923,0.999241,0.999198,0.996256,1.000071,0.998329,0.998329,1.001655,0.419282864,0.522036401,16844.55164
1/6/2023 2:00,0.999276,0.997605,0.998752,0,1.002155,0.997845,1.002081,0.997969,1.000119,0.998795,1.002261,0.9978,1.000272,1.000059,0.999365,0.999375,0.996406,0.9997,0.99846,0.99846,1.001787,0.359782099,0.481868036,16842.3391
1/6/2023 2:15,0.999676,0.998829,0.99911,0,1.002109,0.997891,1.002229,0.997909,1.000142,0.998886,1.002324,0.99787,1.000152,1.000173,0.99945,0.999513,0.996516,0.999794,0.998554,0.998554,1.001881,0.361168171,0.443943996,16840.76204
1/6/2023 2:30,0.999735,0.998883,0.999472,0,1.002068,0.997932,1.002288,0.997887,1.000124,0.998939,1.002344,0.997913,0.999963,1.000266,0.999504,0.99962,0.996592,0.999849,0.99861,0.998751,1.001936,0.403290866,0.422090826,16839.82566
1/6/2023 2:45,1.000014,0.999334,0.999851,0,1.001998,0.998002,1.002255,0.997884,1.000108,0.998979,1.002333,0.99793,0.999763,1.000276,0.999524,0.999688,0.996628,0.999865,0.998625,0.998767,1.001952,0.460810948,0.421059371,16839.56226
1/6/2023 3:00,1.0002,0.999315,0.999422,0,1.001975,0.998025,1.002199,0.997904,1.000167,0.999065,1.002354,0.997992,0.999616,1.00032,0.999585,0.999788,0.996707,0.999926,0.998686,0.998828,1.002013,0.451159305,0.422826128,16838.53824
1/6/2023 3:15,1.000206,0.999281,1.000012,17,1.001962,0.998038,1.002067,0.997943,1.000164,0.99908,1.002314,0.998001,0.999496,1.000313,0.999585,0.999824,0.996726,0.999925,0.998685,0.99939,1.002012,0.470354067,0.433535861,16838.55936
1/6/2023 3:30,1.000107,0.999592,1.000044,4,1.001869,0.998131,1.002031,0.997937,1.000156,0.999087,1.002274,0.998009,0.999589,1.000307,0.999582,0.99986,0.996743,0.99992,0.99868,0.999385,1.002007,0.489734264,0.451474844,16838.63656
1/6/2023 3:45,1.000182,0.999643,0.999727,27,1.00179,0.99821,1.002056,0.997945,1.00018,0.999125,1.002264,0.998048,0.999722,1.000334,0.99961,0.999928,0.996791,0.999949,0.998709,0.999414,1.002036,0.486574232,0.466107698,16838.15308
1/6/2023 4:00,1.000021,0.999544,0.99964,27,1.001707,0.998293,1.002087,0.997944,1.000216,0.99917,1.002256,0.998091,0.999808,1.000345,0.99965,1.000001,0.996848,0.999987,0.998747,0.999446,1.002074,0.479098955,0.474343442,16837.51564
