Time,Open,High,Low,Close,Volume,Volume_quote,hlc3,ohlc4,hl2,candlestick_pattern,keltner_up,keltner_down,bollinger_up,bollinger_down,smma125_high,smma120_low,flay_upper,flay_lower,sma7,sma34,sma99,sma200,sma314,tenkan_sen,kijun_sen,span_a,span_b,storm,storm_ema,normalizesma
2023-02-10 08:15:00,21897.26,21909.85,21878.68,21881.18,2937.52,64315784.8,21889.9,21891.74,21894.27,0,21977.371675536975,21742.047656771618,21956.599600312227,21716.03839968844,22370.673362559788,22263.561121527626,22345.016816644897,21346.36908139432,21876.02142857125,21849.093235294138,22231.865151514834,22589.448499999904,22760.00945859872,21774.655,22111.2,22072.9675,22349.695,0.6757967484336049,0.6643319952112143,21859.709666154296
2023-02-10 08:30:00,21881.19,21901.13,21861.45,21878.38,3192.6,69850321.99,21880.32,21880.54,21881.29,43,21975.319601631632,21747.65598474281,21960.732233735092,21714.603766265573,22362.000581759792,22255.060102083185,22328.45338087673,21364.940579907583,21876.54285714268,21849.744117647082,22223.804242423925,22582.829499999905,22757.023566878972,21774.655,22111.2,22072.9675,22349.695,0.6403629259401121,0.6603273170229703,21861.48779318722
2023-02-10 08:45:00,21878.04,21905.01,21874.14,21889.38,2963.67,64873107.66,21889.51,21886.64,21889.58,17,21972.766821436027,21755.52156623609,21968.101215837072,21713.613784163594,22353.414633599787,22246.844777083184,22312.47658049404,21383.740235192236,21882.44285714268,21851.2323529412,22215.784444444125,22576.285049999904,22754.04194267515,21774.655,22111.2,22072.9675,22349.695,0.614705869917823,0.6506246134887071,21864.14419383606
2023-02-10 09:00:00,21888.75,21905.29,21868.35,21874.33,2958.84,64770207.05,21882.66,21884.18,21886.82,0,21970.26263545355,21759.965905773603,21965.78297805499,21726.11302194567,22344.849485439794,22239.1358194443,22296.187248211823,21402.34675963131,21888.03142857125,21851.87794117649,22207.00585858554,22569.579549999908,22751.01964968152,21774.655,22111.2,22072.9675,22349.695,0.5588705096565848,0.6279453585314204,21865.114270613576
2023-02-10 09:15:00,21874.33,21895.7,21852.89,21888.01,2773.17,60664509.92,21878.87,21877.73,21874.3,0,21970.490344625403,21764.09928791345,21970.56813824252,21728.47586175815,22336.29846655979,22234.411189583185,22279.61165560812,21421.117363999725,21888.607142856963,21853.757941176493,22198.77646464614,22562.874949999907,22747.84863057324,21774.655,22103.505,22053.58,22349.695,0.5406042250027715,0.6024595595284549,21867.294816269427
2023-02-10 09:30:00,21888.87,21890.19,21861.63,21866.1,2433.88,53240606.44,21872.64,21876.7,21875.91,11,21965.768999764146,21768.59304872339,21969.13984787062,21736.638152130046,22327.83254463979,22229.246865972076,22263.051950743746,21439.605774746447,21882.091428571253,21853.824705882376,22190.144646464323,22556.106799999903,22744.66703821655,21774.655,22076.2,22044.015,22349.695,0.47741587084958753,0.564609884562837,21867.181024243768
2023-02-10 09:45:00,21866.55,21878.0,21811.71,21820.23,3815.58,83338770.17,21836.65,21844.12,21844.86,4,21964.696676093652,21760.722320156976,21963.955748058153,21745.237251942508,22319.42460415979,22223.959468749854,22245.412015595462,21456.45764714963,21871.087142856966,21853.868529411786,22180.94727272695,22549.044549999908,22741.309808917187,21774.655,22076.2,22040.6375,22349.695,0.37848205828419684,0.5090361796623091,21862.709498125314
2023-02-10 10:00:00,21820.22,21833.2,21800.0,21819.58,3283.41,71632469.77,21817.59,21818.25,21816.6,37,21957.030387046787,21760.173466703778,21963.251734867772,21746.588265132894,22310.59873023979,22218.24095347208,22227.41782277313,21472.26454585432,21862.28714285697,21852.847647058843,22172.182424242106,22542.164099999907,22737.922292993622,21774.655,22045.18,22040.6375,22349.695,0.32949129254955817,0.4526147810823969,21858.601926875283
2023-02-10 10:15:00,21818.82,21837.94,21803.45,21806.88,2600.18,56740205.08,21816.09,21816.77,21820.7,32,21949.159643231993,21758.19241492328,21951.10700742105,21763.244992579617,22302.110608639792,22213.69390555541,22209.745939462653,21487.6211664197,21852.072857142684,21850.280588235313,22163.191313130992,22535.260599999907,22734.51111464967,21774.655,21901.445,22040.6375,22349.695,0.28309162438730384,0.39696151745777986,21853.676029077636
2023-02-10 10:30:00,21807.17,21841.0,21796.98,21827.97,3061.65,66807376.33,21821.98,21818.28,21818.99,0,21945.96708857107,21756.48858309323,21951.466229119167,21762.4247708815,22294.36709375979,22207.718168749856,22192.715193871485,21502.807410050078,21843.299999999825,21848.09294117649,22153.992121211802,22528.360699999907,22731.157611464958,21851.965,21853.43,22040.6375,22349.695,0.3008475839525672,0.3585069330656504,21851.22783583215
